run_name,run_description,model_description
NC02GS01,The business as usual should go from 2000-2100 and is comparable to IS92a.,
NC01GS01,N/A,"The NCAR model version used here is the NCAR-DoE global coupled model (sometimes referred to as the Washington-Meehl coupled model. Submissions to the DDC using the later NCAR CSM and PCM models will follow). Simulations of 20th century climate and projections of climate into the 21st century were conducted with a global coupled climate model without flux adjustment (these experiments are described in Meehl et al. (1999). The global coupled climate model used in these experiments has an atmospheric component with rhomboidal 15 (R15) resolution (roughly 4.5º latitude by 7.5º longitude) with 9 levels, mass flux convection and a cloud albedo feedback scheme; a global 1º by 1º 20-level ocean; and dynamic and thermodynamic sea ice (Meehl and Washington, 1995; Washington and Meehl, 1996). Characteristics of this model are described by: Meehl and Washington (1995) for sensitivity aspects of the cloud albedo feedback scheme; Meehl (1997) for details on the spin-up and systematic errors; Washington and Meehl (1996) for basic description of a 1% per year CO2 increase experiment and features of the high latitude response in the northern Hemisphere; Meehl and Washington (1996) for description of the ``El Nino-like"" pattern in the 1% CO2 increase sensitivity experiment; Meehl et al. (1996) for results from a set of sensitivity experiments including the 1% per year CO2 increase experiment compared to experiments that include direct and indirect effects of sulphate aerosols. Two climate change experiments were performed, both starting in the year 1900. The first uses greenhouse gas radiative forcing (represented by equivalent CO2) observed during the 20th century, and extends greenhouse gas forcing to the year 2035 by increasing CO2 1% per year compound after 1990 (CO2-only experiment). The second includes the same greenhouse gas (equivalent CO2) forcing as the first, but adds the effects of time-varying geographic distributions of monthly sulphate aerosol radiative forcing (CO2+sulphates experiment). These are compared to a 135-year control experiment with no change in external forcing. Climate system responses in the CO2-only and CO2+sulphates experiments are marked not only by greater warming at high latitudes in the winter hemisphere, but also by a global ""El Nino-like"" pattern in surface temperature, precipitation, and sea level pressure. This is characterized by relatively greater increase of SST in the central and eastern equatorial Pacific compared to the west, a shift of precipitation maxima from the western Pacific to the central Pacific, mostly decreases of Asian-Australian monsoon strength, lower pressure over the eastern tropical Pacific, deeper midlatitude troughs in the north and south Pacific, and higher pressure over Australasia. An EOF analysis of surface temperature indicates that the ""El Nino-like"" pattern in the model characterizes not only CO2-only and CO2+sulphates climate system response to time-varying external forcing, but also internally-generated climate variability at the El Nino and decadal (9-20 year) timescales. These results indicate that the ""El Nino-like"" pattern is a ubiquitous response in the climate system that occurs at different timescales due to different forcings. The coupled model climate change experiments show that time-evolving external forcing can introduce this same low frequency response pattern into the coupled climate system."
HC01GS04,Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). The forcing due to sulphate aerosol includes the direct radiative effect of historic sulphate aerosol concentrations from 1860 to 1990 and a scenario of sulphate aerosol concentrations from 1990 to 2100 derived from the sulphur emissions in the IS92a scenario. Sulphate Aerosol and Greenhouse Gas Integration (GSG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #4 of the ensemble.,"The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC01GS03,Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). The forcing due to sulphate aerosol includes the direct radiative effect of historic sulphate aerosol concentrations from 1860 to 1990 and a scenario of sulphate aerosol concentrations from 1990 to 2100 derived from the sulphur emissions in the IS92a scenario. Sulphate Aerosol and Greenhouse Gas Integration (GSG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #3 of the ensemble.,"The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC01GS02,Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). The forcing due to sulphate aerosol includes the direct radiative effect of historic sulphate aerosol concentrations from 1860 to 1990 and a scenario of sulphate aerosol concentrations from 1990 to 2100 derived from the sulphur emissions in the IS92a scenario. Sulphate Aerosol and Greenhouse Gas Integration (GSG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #2 of the ensemble.,"The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC02GG01,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990 (historical) and IS95a, with specification of CO2 and various minor gases individually.",N/A
HC01GG01,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by 
the IS92a emissions scenario). From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). Greenhouse Gas Integration (GHG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #1 of the ensemble. The climatology constructed from the 240-year CTL run serves as a reference for the time-dependent forcing experiments.","The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC01GG04,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by 
the IS92a emissions scenario). From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). Greenhouse Gas Integration (GHG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #4 of the ensemble. The climatology constructed from the 240-year CTL run serves as a reference for the time-dependent forcing experiments.","The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC01GG03,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by 
the IS92a emissions scenario). From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). Greenhouse Gas Integration (GHG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #3 of the ensemble. The climatology constructed from the 240-year CTL run serves as a reference for the time-dependent forcing experiments.","The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC01GG02,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by 
the IS92a emissions scenario). From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). Greenhouse Gas Integration (GHG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #2 of the ensemble. The climatology constructed from the 240-year CTL run serves as a reference for the time-dependent forcing experiments.","The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC01GS01,Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases from 1860 to 1990. From 1990 to 2100 it uses a 1 per cent per year compounded increase in concentrations (a rather larger forcing scenario than is represented by the IS92a emissions scenario). The forcing due to sulphate aerosol includes the direct radiative effect of historic sulphate aerosol concentrations from 1860 to 1990 and a scenario of sulphate aerosol concentrations from 1990 to 2100 derived from the sulphur emissions in the IS92a scenario. Sulphate Aerosol and Greenhouse Gas Integration (GSG): The IPCC Data Distribution Centre (DDC) distributes data of 4 ensemble runs. This experiment represents member #1 of the ensemble.,"The experiments performed at the Hadley Centre used the Unified Model (Cullen, 1993). These experiments represented a large step forward in the way that climate change was modelled by GCMs and raised new possibilities for scenario construction. This experiment overcame some of the major difficulties that were associated with the previous generations of equilibrium (circa IPCC 1990) and cold-start transient (circa IPCC 1992) climate change experiments. HadCM2 has a spatial resolution of 2.5° x 3.75° (latitude by longitude) and the representation produces a grid box resolution of 96 x 73 grid cells. This produces a surface spatial resolution of about 417km x 278 km reducing to 295 x 278km at 45 degrees North and South (comparable to a spectral resolution of T42). The equilibrium climate sensitivity (DT2x) of HadCM2, that is the global-mean temperature response to a doubling of effective CO2 concentration, is approximately 2.5°C, although, this quantity varies with the time-scale considered. This is somewhat lower than most other GCMs (IPCC, 1992). In order to undertake a 'warm-start' experiment it is necessary to perturb the model with a forcing from an early historical era, when the radiative forcing was relatively small compared to the present. The Hadley Centre started their experiments performed with HadCM2 with forcing from the middle industrial era, about 1860 (Mitchell et al., 1995; Johns et al., 1995). The greenhouse gas only integrations, HadCM2GG, used the combined forcing of all the greenhouse gases as an equivalent CO2 concentration. A further series of integrations, HadCM2GS, used the combined equivalent CO2 concentration plus the negative forcing from sulphate aerosols. The HadCM2GG integrations simulated the change in forcing of the climate system by greenhouse gases since the early industrial period (taken by HadCM2 to be 1860). The addition of the negative forcing effects of sulphate aerosols represents the direct radiative forcing due to anthropogenic sulphate aerosols by means of an increase in clear-sky surface albedo proportional to the local sulphate loading (refer to Mitchell et al., 1995 for details of this method). The indirect effects of aerosols were not simulated. The modelled control climate shows a negligible long term trend in surface air temperature over the first 400 years. The trend is about +0.04°C per century, which is comparable to other such experiments. HadCM2CON represents an improvement over previous generations of GCMs that have been used at the Hadley Centre (Johns et al., 1995; and Airey et al.,1995). The experiments performed have simulated the observed climate system using estimated forcing perturbations since 1860. Johns et al., (1995) and Mitchell et al., (1995) have established that HadCM2's sensitivity is consistent with the real climate system. The agreement between the observed global-mean temperature record and that produced in these experiments is better for HadCM2GS than for HadCM2GG. This implies that HadCM2Gs has captured the observed signal of global-mean temperature changes better than HadCM2GG for the recent 100-year record. The following gives a list of the climate change integrations that have been performed using HadCM2. HadCM2GGa1-4: an ensemble of Greenhouse Gas Integrations (historic equivalent GG 1860 - 1989, 1% compound increase GG 1990 - 2099) and HadCM2GSa1-4: an ensemble of Greenhouse Gas plus Sulphate Aerosol Integrations (GGa forcing plus historic SO4 1860 - 1989, IS92a SO4 1990 - 2099)."
HC02GS01,"Here the greenhouse gas forcing is increased gradually to represent the observed changes in forcing due to all the greenhouse gases plus the direct and first indirect effect of sulphate aerosols, and ozone changes.",N/A
